update,agent_steps,elapsed_s,steps_per_s,mean_return,mean_score,mean_length,mean_grazes,mean_progress,best_score,policy_loss,value_loss,entropy
0,4096,3.1,1304.8,nan,nan,nan,nan,nan,0.0,-0.019,0.046,2.8879
1,8192,6.2,1331.6,nan,nan,nan,nan,nan,0.0,-0.013,0.073,2.8844
2,12288,9.2,1332.7,nan,nan,nan,nan,nan,0.0,-0.01,0.2328,2.882
3,16384,12.3,1332.5,nan,nan,nan,nan,nan,0.0,-0.0079,0.3749,2.8767
4,20480,15.4,1331.0,nan,nan,nan,nan,nan,0.0,-0.0065,0.3827,2.8732
5,24576,18.4,1332.5,nan,nan,nan,nan,nan,0.0,-0.011,0.203,2.883
6,28672,21.5,1331.7,nan,nan,nan,nan,nan,0.0,-0.0041,17.9139,2.8806
7,32768,24.6,1331.3,nan,nan,nan,nan,nan,0.0,-0.0068,0.58,2.8724
8,36864,27.8,1325.3,nan,nan,nan,nan,nan,0.0,-0.0059,0.5764,2.875
9,40960,30.9,1323.9,nan,nan,nan,nan,nan,0.0,-0.0088,0.2006,2.8696
10,45056,34.0,1327.1,nan,nan,nan,nan,nan,0.0,-0.0093,0.2039,2.8779
11,49152,37.0,1327.4,nan,nan,nan,nan,nan,0.0,-0.0108,0.4817,2.8546
12,53248,40.2,1325.7,nan,nan,nan,nan,nan,0.0,-0.0087,0.2441,2.8497
13,57344,43.4,1322.1,nan,nan,nan,nan,nan,0.0,-0.0072,0.2839,2.8451
14,61440,46.6,1317.9,nan,nan,nan,nan,nan,0.0,-0.0105,0.3217,2.8331
15,65536,49.8,1317.0,nan,nan,nan,nan,nan,0.0,-0.0112,0.3027,2.8272
16,69632,53.0,1313.2,nan,nan,nan,nan,nan,0.0,-0.0061,0.7108,2.8184
17,73728,56.3,1309.1,nan,nan,nan,nan,nan,0.0,-0.012,0.2303,2.812
18,77824,59.4,1309.2,160.57,14880.0,2427.0,587.0,0.9,14880.0,-0.0157,0.1564,2.8364
19,81920,62.5,1309.9,160.12,14820.0,2442.0,632.0,0.9,14880.0,-0.0054,0.3037,2.8318
20,86016,65.6,1310.8,149.74,13648.3,2575.3,652.8,0.9,14880.0,-0.0131,0.3772,2.8271
21,90112,68.7,1311.3,150.74,13682.0,2642.3,657.5,0.9,15430.0,-0.0174,0.3851,2.8145
22,94208,71.8,1312.6,158.3,14343.5,2745.4,648.9,0.9,16310.0,-0.0082,0.5228,2.8107
23,98304,74.8,1313.8,158.3,14313.2,2774.6,649.9,0.9,16310.0,-0.0162,0.296,2.8094
24,102400,77.9,1314.5,158.42,14294.8,2811.3,668.7,0.9,16310.0,-0.0053,0.3372,2.8149
25,106496,81.0,1315.2,160.46,14466.5,2849.0,681.0,0.9,16860.0,-0.0019,1.4026,2.8201
26,110592,84.0,1315.9,161.49,14544.6,2873.5,689.6,0.9,16860.0,-0.0107,0.4061,2.8299
27,114688,87.1,1316.3,162.13,14578.8,2901.9,699.0,0.9,16860.0,-0.0053,3.373,2.8372
28,118784,90.2,1316.5,163.29,14664.2,2932.5,708.5,0.9,16860.0,-0.0051,2.2579,2.8444
29,122880,93.3,1316.7,163.29,14664.2,2932.5,708.5,0.9,16860.0,-0.0027,3.8152,2.846
30,126976,96.5,1316.5,163.29,14664.2,2932.5,708.5,0.9,16860.0,-0.0072,1.898,2.8463
31,131072,99.6,1316.3,163.29,14664.2,2932.5,708.5,0.9,16860.0,-0.0072,2.1254,2.846
32,135168,102.7,1316.3,163.29,14664.2,2932.5,708.5,0.9,16860.0,-0.0109,1.946,2.8436
33,139264,105.8,1316.3,159.71,14373.3,2864.6,696.0,0.8821,16860.0,-0.0091,0.6401,2.8387
34,143360,108.9,1316.2,159.71,14373.3,2864.6,696.0,0.8821,16860.0,-0.015,1.1907,2.8327
35,147456,112.1,1315.6,168.88,15059.3,2980.3,710.1,0.8868,28300.0,-0.003,1.2373,2.8234
36,151552,115.3,1314.9,173.45,15409.7,3093.5,734.8,0.8877,28300.0,-0.0061,0.4751,2.8161
37,155648,118.7,1311.7,179.44,15860.6,3145.9,739.2,0.8912,29840.0,-0.0054,18.1248,2.8104
38,159744,122.4,1305.2,181.45,16012.4,3200.4,749.0,0.8914,29840.0,-0.0052,0.7126,2.8176
39,163840,125.9,1301.1,181.45,16012.4,3200.4,749.0,0.8914,29840.0,-0.0137,0.6681,2.8192
40,167936,129.3,1298.4,180.14,15921.7,3171.3,742.4,0.8919,29840.0,-0.0107,0.9856,2.818
41,172032,132.8,1295.5,178.03,15746.8,3144.4,737.4,0.8924,29840.0,-0.0046,1.8466,2.8102
42,176128,136.1,1293.9,183.43,16150.0,3116.5,720.5,0.8979,29840.0,0.0069,10.1263,2.7943
43,180224,139.5,1292.0,185.2,16315.8,3132.2,719.1,0.8979,29840.0,-0.0153,1.5152,2.7919
44,184320,142.8,1290.5,189.61,16676.8,3121.8,712.5,0.9004,29840.0,-0.0077,12.8884,2.7705
45,188416,146.3,1287.9,192.06,16847.5,3113.7,715.1,0.9029,29840.0,-0.0102,10.6746,2.761
46,192512,149.8,1285.2,191.66,16803.2,3118.1,723.5,0.9029,29840.0,-0.0096,0.5166,2.7575
47,196608,153.2,1283.1,195.37,17084.5,3121.0,722.5,0.9054,29840.0,-0.007,11.3598,2.7353
48,200704,156.6,1281.3,195.37,17084.5,3121.0,722.5,0.9054,29840.0,0.0013,0.9685,2.687
49,204800,160.3,1277.9,195.37,17084.5,3121.0,722.5,0.9054,29840.0,0.002,3.7832,2.6715
50,208896,163.9,1274.6,195.37,17084.5,3121.0,722.5,0.9054,29840.0,-0.0101,3.7934,2.6793
51,212992,167.5,1271.6,195.37,17084.5,3121.0,722.5,0.9054,29840.0,-0.0004,2.3057,2.6893
52,217088,171.1,1268.8,195.37,17084.5,3121.0,722.5,0.9054,29840.0,-0.0059,1.2115,2.7231
53,221184,174.7,1266.1,195.37,17084.5,3121.0,722.5,0.9054,29840.0,-0.013,1.2747,2.7255
54,225280,178.2,1264.2,195.37,17084.5,3121.0,722.5,0.9054,29840.0,-0.0102,1.4175,2.729
55,229376,181.8,1261.5,204.34,17693.0,3136.0,712.2,0.9129,29840.0,0.0,20.3437,2.7183
56,233472,185.4,1259.0,207.0,17882.2,3122.7,702.7,0.9154,29840.0,-0.0041,13.0229,2.7211
57,237568,189.1,1256.4,212.72,18285.2,3104.7,679.6,0.9204,29840.0,0.0064,24.9102,2.7171
58,241664,192.7,1254.1,215.02,18437.2,3092.7,671.6,0.9229,29840.0,-0.009,14.6371,2.7143
59,245760,196.4,1251.6,215.02,18437.2,3092.7,671.6,0.9229,29840.0,-0.0074,0.9811,2.7149
60,249856,200.0,1249.1,217.52,18605.5,3079.8,658.4,0.9254,29840.0,-0.0088,18.7897,2.7276
61,253952,203.6,1247.2,220.11,18790.8,3063.6,646.7,0.9279,29840.0,-0.0052,12.8196,2.7307
62,258048,207.2,1245.5,227.38,19310.2,3084.4,632.7,0.945,29840.0,-0.0075,35.7113,2.7242
63,262144,210.7,1243.9,227.16,19279.0,2992.1,607.2,0.9475,29840.0,-0.0037,13.2315,2.7386
64,266240,214.3,1242.1,232.9,19587.2,2793.0,526.4,0.96,29840.0,-0.004,57.5819,2.7421
65,270336,217.9,1240.8,250.34,20838.8,2820.7,484.1,0.9725,29840.0,0.0006,53.638,2.7446
66,274432,221.4,1239.4,252.09,20917.2,2823.1,476.6,0.975,29840.0,-0.0045,12.9242,2.7469
67,278528,224.9,1238.5,254.59,21077.0,2823.3,465.6,0.9775,29840.0,-0.0077,1.0908,2.7455
68,282624,228.4,1237.3,263.66,21706.5,2822.8,444.2,0.985,29840.0,-0.0039,27.005,2.7368
69,286720,231.9,1236.5,263.1,21652.8,2821.0,440.4,0.985,29840.0,-0.0094,14.2941,2.7448
70,290816,235.4,1235.5,263.1,21652.8,2821.0,440.4,0.985,29840.0,-0.0086,2.9688,2.7554
71,294912,238.8,1234.8,263.1,21652.8,2821.0,440.4,0.985,29840.0,-0.0054,2.6509,2.765
72,299008,242.4,1233.5,263.1,21652.8,2821.0,440.4,0.985,29840.0,-0.0093,4.5337,2.7455
73,303104,245.9,1232.4,263.1,21652.8,2821.0,440.4,0.985,29840.0,-0.0085,1.9178,2.7401
74,307200,249.6,1231.0,263.1,21652.8,2821.0,440.4,0.985,29840.0,-0.0087,1.3138,2.7136
75,311296,253.1,1229.9,263.1,21652.8,2821.0,440.4,0.985,29840.0,-0.0083,1.4929,2.7239
76,315392,256.6,1228.9,267.02,21946.8,2825.0,431.8,0.9875,29840.0,0.006,7.5072,2.7382
77,319488,260.1,1228.2,277.64,22724.2,2832.4,400.9,0.995,29840.0,0.004,38.6947,2.741
78,323584,263.6,1227.3,277.64,22724.2,2832.4,400.9,0.995,29840.0,-0.0049,1.1404,2.7507
79,327680,267.2,1226.5,280.64,22941.2,2825.2,389.5,0.9975,29840.0,-0.0016,16.071,2.7441
80,331776,270.8,1225.2,281.27,22996.2,2829.8,387.4,0.9975,29840.0,-0.0032,13.2338,2.7448
81,335872,274.4,1224.2,283.92,23183.0,2814.4,375.9,1.0,29840.0,-0.0031,3.9011,2.7475
82,339968,278.0,1223.0,283.92,23183.0,2814.4,375.9,1.0,29840.0,-0.0123,1.0446,2.7487
83,344064,281.6,1221.8,283.92,23199.5,2797.4,369.4,1.0,29840.0,-0.0017,15.9394,2.7611
84,348160,285.2,1220.7,286.62,23478.2,2777.8,350.9,1.0,29840.0,-0.0063,56.5473,2.7391
85,352256,288.8,1219.6,288.1,23631.8,2775.8,349.9,1.0,29840.0,-0.0036,7.7254,2.7285
86,356352,292.6,1218.0,290.29,23871.5,2769.6,341.4,1.0,29840.0,-0.0029,35.6046,2.7195
87,360448,296.0,1217.9,294.73,24300.0,2778.4,336.6,1.0,29840.0,-0.0029,64.2593,2.7298
88,364544,299.9,1215.5,295.32,24359.8,2777.1,335.9,1.0,29840.0,-0.0053,5.0635,2.7461
89,368640,303.7,1213.7,296.17,24445.5,2772.3,332.3,1.0,29840.0,-0.0106,8.493,2.7241
90,372736,307.5,1212.0,298.16,24647.0,2774.2,330.1,1.0,29840.0,-0.0019,21.1639,2.7421
91,376832,311.3,1210.4,298.36,24672.0,2772.6,330.0,1.0,29840.0,-0.0046,6.7266,2.7305
92,380928,315.3,1208.1,298.36,24672.0,2772.6,330.0,1.0,29840.0,-0.003,2.2184,2.7081
93,385024,319.0,1207.2,298.36,24672.0,2772.6,330.0,1.0,29840.0,-0.0119,2.0442,2.7323
94,389120,322.5,1206.7,298.36,24672.0,2772.6,330.0,1.0,29840.0,-0.0109,3.8493,2.7114
95,393216,326.2,1205.3,298.36,24672.0,2772.6,330.0,1.0,29840.0,-0.0062,1.1571,2.7072
96,397312,330.0,1204.1,298.36,24672.0,2772.6,330.0,1.0,29840.0,-0.0076,1.3467,2.6603
97,401408,333.7,1203.0,297.62,24600.0,2770.9,333.6,1.0,29840.0,-0.0144,20.0708,2.6729
98,405504,337.4,1201.8,298.29,24665.0,2769.1,332.9,1.0,29840.0,-0.0026,11.4862,2.6413
99,409600,341.1,1200.8,298.63,24691.2,2772.9,333.4,1.0,29840.0,-0.0054,4.8707,2.6467
100,413696,344.7,1200.0,300.38,24869.8,2773.3,332.3,1.0,29840.0,-0.0069,24.468,2.6786
101,417792,348.4,1199.1,300.98,24934.0,2769.5,330.4,1.0,29840.0,-0.0094,0.7735,2.7009
102,421888,352.1,1198.4,302.23,25058.0,2765.8,327.5,1.0,29840.0,-0.0074,9.338,2.6873
103,425984,355.7,1197.6,302.23,25058.0,2765.8,327.5,1.0,29840.0,-0.0122,1.0837,2.706
