update,agent_steps,elapsed_s,steps_per_s,mean_return,mean_score,mean_length,mean_grazes,mean_progress,best_score,policy_loss,value_loss,entropy
104,430080,359.4,1196.5,302.23,25058.0,2765.8,327.5,1.0,29840.0,-0.0061,1.443,2.6522
105,434176,363.1,1195.7,302.25,25061.2,2768.7,330.0,1.0,29840.0,-0.0042,4.0803,2.6485
106,438272,366.8,1194.7,302.84,25108.8,2773.0,325.5,1.0,29840.0,-0.0028,44.3839,2.6319
107,442368,370.3,1194.5,303.07,25129.5,2774.8,325.1,1.0,29840.0,-0.0053,23.4395,2.6078
108,446464,374.1,1193.6,303.64,25206.8,2770.2,321.6,1.0,29840.0,0.0048,35.1798,2.6128
109,450560,377.6,1193.3,302.67,25104.8,2774.3,325.8,1.0,29840.0,-0.0038,10.9395,2.6448
110,454656,381.0,1193.3,303.5,25175.8,2786.5,326.1,1.0,29840.0,-0.0092,18.9602,2.6382
111,458752,384.5,1193.1,303.9,25217.2,2785.5,325.2,1.0,29840.0,-0.0071,4.3395,2.6505
112,462848,388.0,1193.0,304.45,25272.2,2785.0,322.6,1.0,29840.0,-0.0054,8.6014,2.6694
113,466944,391.7,1192.0,304.95,25321.8,2785.4,322.0,1.0,29840.0,-0.0059,9.0602,2.6759
114,471040,395.3,1191.5,304.95,25321.8,2785.4,322.0,1.0,29840.0,-0.0044,1.5029,2.6846
115,475136,398.8,1191.3,304.95,25321.8,2785.4,322.0,1.0,29840.0,-0.0112,3.1141,2.6951
116,479232,402.3,1191.2,304.95,25321.8,2785.4,322.0,1.0,29840.0,-0.0063,2.0444,2.7058
117,483328,405.8,1190.9,304.95,25321.8,2785.4,322.0,1.0,29840.0,-0.0036,2.1655,2.6905
118,487424,409.6,1190.0,304.95,25321.8,2785.4,322.0,1.0,29840.0,-0.0076,1.3511,2.6927
119,491520,413.4,1188.9,304.27,25261.0,2782.7,324.6,1.0,29840.0,-0.0065,7.144,2.7126
120,495616,417.1,1188.4,304.6,25290.0,2782.8,323.1,1.0,29840.0,-0.0036,6.0894,2.6973
121,499712,420.7,1187.8,305.02,25340.0,2782.3,322.6,1.0,29840.0,0.0002,20.9302,2.7017
122,503808,424.5,1186.9,305.02,25340.0,2782.3,322.6,1.0,29840.0,-0.0051,1.1625,2.714
123,507904,428.3,1185.9,304.2,25264.2,2787.2,325.8,1.0,29840.0,0.0007,13.8819,2.6865
124,512000,431.9,1185.5,304.2,25264.2,2787.2,325.8,1.0,29840.0,-0.0067,1.3883,2.6974
125,516096,435.5,1185.0,305.07,25348.0,2790.5,326.4,1.0,29840.0,-0.0045,4.657,2.6921
126,520192,439.2,1184.3,305.07,25348.0,2790.5,326.4,1.0,29840.0,-0.0032,4.9071,2.6714
127,524288,442.9,1183.7,304.0,25255.0,2787.6,327.4,1.0,29840.0,-0.0052,14.6927,2.6658
128,528384,446.5,1183.3,304.06,25267.5,2776.9,324.7,1.0,29840.0,-0.0043,12.4094,2.6776
129,532480,450.1,1183.0,304.44,25290.5,2788.9,325.7,1.0,29840.0,-0.0001,20.2864,2.685
130,536576,453.8,1182.3,304.27,25272.5,2793.6,329.8,1.0,29840.0,0.005,14.0045,2.6703
131,540672,457.5,1181.9,303.09,25155.5,2803.9,337.1,1.0,29840.0,0.0,31.1927,2.6742
132,544768,461.1,1181.4,302.89,25132.5,2806.7,337.7,1.0,29840.0,-0.0049,6.2553,2.6915
133,548864,464.8,1180.9,303.06,25140.5,2815.7,341.2,1.0,29840.0,-0.006,3.856,2.6909
134,552960,468.3,1180.8,302.66,25099.2,2820.1,344.1,1.0,29840.0,-0.003,5.0492,2.694
135,557056,471.8,1180.8,302.67,25100.0,2821.2,344.6,1.0,29840.0,-0.0069,6.5591,2.6992
136,561152,475.3,1180.7,302.67,25100.0,2821.2,344.6,1.0,29840.0,-0.0059,2.2732,2.6925
137,565248,478.8,1180.4,302.67,25100.0,2821.2,344.6,1.0,29840.0,-0.0045,2.5106,2.6913
138,569344,482.5,1179.9,302.67,25100.0,2821.2,344.6,1.0,29840.0,-0.006,2.9058,2.6457
139,573440,486.2,1179.4,302.67,25100.0,2821.2,344.6,1.0,29840.0,-0.001,2.0375,2.6686
140,577536,490.0,1178.6,302.2,25061.5,2815.7,343.4,1.0,29840.0,-0.0015,6.8877,2.6744
141,581632,493.4,1178.8,302.2,25061.5,2815.7,343.4,1.0,29840.0,-0.0055,2.0267,2.6715
142,585728,497.0,1178.5,300.78,24929.8,2806.2,341.4,1.0,29840.0,-0.0066,12.8007,2.6662
143,589824,500.5,1178.4,300.61,24917.5,2804.9,341.9,1.0,29840.0,-0.0048,4.2628,2.6674
144,593920,504.0,1178.4,300.64,24918.8,2807.0,343.4,1.0,29840.0,-0.0051,5.8749,2.6828
145,598016,507.4,1178.5,299.62,24822.5,2808.6,346.6,1.0,29840.0,0.0017,12.6233,2.6708
146,602112,510.8,1178.7,299.62,24822.5,2808.6,346.6,1.0,29840.0,-0.0063,1.669,2.6624
147,606208,514.2,1178.8,299.9,24854.2,2804.6,342.8,1.0,29840.0,-0.0005,10.4206,2.6532
148,610304,517.7,1178.8,299.59,24824.8,2799.7,344.5,1.0,29840.0,-0.0068,12.0393,2.6286
149,614400,521.1,1179.0,299.4,24805.2,2796.0,346.3,1.0,29840.0,-0.0068,6.8153,2.6118
150,618496,524.5,1179.1,300.32,24887.5,2790.8,343.8,1.0,29840.0,-0.0046,7.5172,2.5889
151,622592,527.9,1179.3,299.77,24836.0,2791.3,342.0,1.0,29840.0,-0.0055,10.6282,2.5972
152,626688,531.4,1179.4,300.45,24901.0,2794.2,337.7,1.0,29840.0,-0.005,12.7783,2.5563
153,630784,534.7,1179.7,298.75,24732.8,2792.2,339.2,1.0,29840.0,0.0004,16.6634,2.5861
154,634880,538.0,1180.0,298.59,24706.2,2794.8,341.7,1.0,29840.0,-0.0101,9.9434,2.6387
155,638976,541.4,1180.3,298.59,24706.2,2794.8,341.7,1.0,29840.0,-0.0091,1.9744,2.6471
156,643072,544.8,1180.5,298.54,24707.2,2789.4,340.6,1.0,29840.0,-0.004,5.0066,2.646
157,647168,548.1,1180.7,298.85,24736.2,2787.6,338.4,1.0,29840.0,-0.0017,3.808,2.6145
158,651264,551.5,1180.9,298.85,24736.2,2787.6,338.4,1.0,29840.0,-0.0054,2.3308,2.6297
159,655360,554.8,1181.2,298.85,24736.2,2787.6,338.4,1.0,29840.0,-0.0031,2.6344,2.6287
160,659456,558.3,1181.2,298.85,24736.2,2787.6,338.4,1.0,29840.0,-0.0035,4.545,2.6203
161,663552,561.7,1181.3,298.61,24715.5,2788.2,338.6,1.0,29840.0,-0.0055,3.3023,2.604
162,667648,565.2,1181.3,298.61,24715.5,2788.2,338.6,1.0,29840.0,-0.0103,1.3525,2.6234
163,671744,568.6,1181.5,298.61,24715.5,2788.2,338.6,1.0,29840.0,-0.0067,1.7042,2.618
164,675840,572.1,1181.3,298.72,24730.5,2784.2,339.4,1.0,29840.0,-0.0041,4.971,2.6269
165,679936,575.5,1181.5,299.24,24772.5,2786.9,339.8,1.0,29840.0,0.0035,5.5115,2.6503
166,684032,578.8,1181.8,300.29,24877.2,2778.8,335.9,1.0,29840.0,-0.008,5.8912,2.6586
167,688128,582.2,1182.0,300.29,24877.2,2778.8,335.9,1.0,29840.0,-0.0022,1.6466,2.6462
168,692224,585.6,1182.1,300.22,24868.0,2777.7,334.6,1.0,29840.0,-0.0089,3.6095,2.6542
169,696320,589.0,1182.3,301.29,24970.2,2782.1,335.7,1.0,29840.0,-0.0054,5.0755,2.6448
170,700416,592.4,1182.3,302.49,25086.0,2783.1,336.8,1.0,29840.0,-0.0031,11.1819,2.6288
171,704512,595.8,1182.4,302.17,25047.0,2778.8,336.9,1.0,29840.0,-0.003,7.621,2.6346
172,708608,599.1,1182.7,302.48,25076.5,2776.7,335.4,1.0,29840.0,-0.0063,11.6832,2.6187
173,712704,602.5,1182.9,302.92,25115.2,2781.9,338.9,1.0,29840.0,-0.0003,9.2683,2.6117
174,716800,605.8,1183.2,302.43,25074.2,2781.0,343.4,1.0,29840.0,-0.0047,16.3004,2.5958
175,720896,609.2,1183.4,302.65,25094.8,2786.2,347.7,1.0,29840.0,-0.0013,12.9619,2.6372
176,724992,612.5,1183.6,303.23,25148.0,2787.9,345.2,1.0,29840.0,-0.0047,4.1618,2.6807
177,729088,615.9,1183.8,303.23,25148.0,2787.9,345.2,1.0,29840.0,-0.0049,2.1585,2.6918
178,733184,619.2,1184.1,303.77,25202.5,2787.3,345.2,1.0,29840.0,-0.0012,5.4039,2.6733
179,737280,622.6,1184.3,304.09,25235.5,2785.8,344.0,1.0,29840.0,-0.0047,3.0495,2.6689
180,741376,625.9,1184.5,304.09,25235.5,2785.8,344.0,1.0,29840.0,-0.0072,2.0451,2.6768
181,745472,629.2,1184.7,304.09,25235.5,2785.8,344.0,1.0,29840.0,-0.0051,2.5605,2.6849
182,749568,632.7,1184.7,304.09,25235.5,2785.8,344.0,1.0,29840.0,-0.0008,2.7895,2.6754
183,753664,636.1,1184.9,304.06,25242.0,2783.8,344.7,1.0,29840.0,-0.0022,2.7213,2.6767
184,757760,639.4,1185.2,304.06,25242.0,2783.8,344.7,1.0,29840.0,-0.0093,2.5911,2.6763
185,761856,642.7,1185.4,303.98,25246.5,2775.2,343.4,1.0,29840.0,-0.0033,5.1611,2.6496
186,765952,646.1,1185.5,303.99,25250.8,2776.0,344.4,1.0,29840.0,-0.0103,4.9652,2.6515
187,770048,649.8,1185.1,304.22,25277.2,2772.5,343.4,1.0,29840.0,-0.0089,5.1112,2.63
188,774144,652.9,1185.6,304.22,25277.2,2772.5,343.4,1.0,29840.0,-0.0032,1.1132,2.6411
189,778240,656.1,1186.2,304.65,25311.2,2780.8,343.1,1.0,29840.0,-0.0054,4.3182,2.6456
190,782336,659.6,1186.1,304.65,25311.2,2780.8,343.1,1.0,29840.0,-0.0032,1.8636,2.645
191,786432,663.2,1185.9,304.86,25335.2,2778.1,344.6,1.0,29840.0,0.0013,12.4234,2.6384
192,790528,666.8,1185.6,305.04,25361.8,2776.9,345.2,1.0,29840.0,-0.0058,7.7308,2.6287
193,794624,670.2,1185.6,304.89,25354.2,2776.8,347.6,1.0,29840.0,-0.005,9.2706,2.6167
194,798720,673.8,1185.4,304.8,25347.8,2774.4,347.6,1.0,29840.0,-0.0017,5.23,2.6133
195,802816,677.3,1185.3,305.92,25457.2,2766.0,339.9,1.0,29840.0,0.0012,13.2204,2.597
196,806912,680.8,1185.3,305.75,25423.8,2778.4,345.9,1.0,29840.0,-0.0101,11.8186,2.598
197,811008,684.1,1185.5,306.6,25503.8,2780.5,341.3,1.0,29840.0,-0.0062,6.1927,2.6507
198,815104,687.5,1185.6,307.21,25537.8,2799.9,339.7,1.0,29840.0,0.001,11.9859,2.6523
199,819200,690.9,1185.8,307.21,25537.8,2799.9,339.7,1.0,29840.0,-0.0068,1.6148,2.6557
200,823296,694.2,1186.0,307.13,25531.0,2798.2,341.7,1.0,29840.0,-0.0036,4.0323,2.6342
201,827392,697.6,1186.1,307.21,25542.2,2794.9,342.4,1.0,29840.0,-0.0044,2.6943,2.6662
202,831488,700.9,1186.2,307.21,25542.2,2794.9,342.4,1.0,29840.0,-0.0069,2.8723,2.6593
203,835584,704.4,1186.3,307.21,25542.2,2794.9,342.4,1.0,29840.0,-0.0023,2.9037,2.6728
204,839680,707.8,1186.3,307.21,25542.2,2794.9,342.4,1.0,29840.0,-0.0043,2.4626,2.6796
205,843776,711.3,1186.3,307.38,25558.2,2795.6,343.6,1.0,29840.0,-0.0031,5.0043,2.6655
206,847872,714.7,1186.3,307.38,25558.2,2795.6,343.6,1.0,29840.0,-0.0032,1.7551,2.6741
207,851968,718.1,1186.4,308.12,25629.2,2791.5,341.0,1.0,29840.0,-0.0064,8.9987,2.6779
208,856064,721.5,1186.6,307.29,25550.0,2795.5,346.0,1.0,29840.0,-0.0104,3.6232,2.6777
209,860160,724.8,1186.7,306.94,25515.2,2794.9,345.4,1.0,29840.0,-0.0082,2.5407,2.6703
210,864256,728.3,1186.6,306.33,25452.0,2793.1,347.2,1.0,29840.0,-0.005,3.212,2.6493
211,868352,732.0,1186.2,306.33,25452.0,2793.1,347.2,1.0,29840.0,-0.0083,1.1861,2.645
212,872448,735.5,1186.2,306.45,25452.8,2789.9,350.2,1.0,29840.0,-0.0036,12.3158,2.6329
213,876544,739.1,1186.0,306.27,25437.0,2787.6,349.2,1.0,29840.0,-0.0039,8.3153,2.6542
214,880640,742.5,1186.1,306.24,25450.5,2778.9,349.3,1.0,29840.0,-0.0017,6.3181,2.6403
215,884736,745.9,1186.1,306.24,25450.5,2778.9,349.3,1.0,29840.0,-0.0024,2.6114,2.6434
216,888832,749.3,1186.2,306.84,25503.5,2781.9,347.7,1.0,29840.0,-0.0057,11.0271,2.6402
217,892928,752.7,1186.3,306.97,25512.5,2778.8,347.5,1.0,29840.0,-0.0029,4.3446,2.6322
218,897024,756.1,1186.4,307.56,25560.5,2785.3,347.0,1.0,29840.0,-0.0075,7.7182,2.6244
219,901120,759.4,1186.7,307.7,25568.5,2798.9,350.5,1.0,29840.0,-0.005,7.3726,2.6537
220,905216,762.7,1186.8,307.05,25527.5,2790.2,352.9,1.0,29840.0,-0.004,6.8638,2.6874
221,909312,766.1,1186.9,307.24,25549.5,2786.6,354.6,1.0,29840.0,-0.002,4.5048,2.6856
222,913408,769.6,1186.9,307.24,25549.5,2786.6,354.6,1.0,29840.0,-0.008,2.0314,2.7044
223,917504,773.0,1186.9,307.24,25549.5,2786.6,354.6,1.0,29840.0,-0.0051,2.2581,2.6827
224,921600,776.4,1187.1,307.16,25540.5,2791.6,356.0,1.0,29840.0,-0.0059,3.1955,2.6958
225,925696,779.7,1187.3,307.16,25540.5,2791.6,356.0,1.0,29840.0,-0.007,3.2742,2.7031
226,929792,783.1,1187.4,307.16,25540.5,2791.6,356.0,1.0,29840.0,-0.0119,2.4152,2.6869
227,933888,786.4,1187.5,306.38,25466.0,2792.0,359.1,1.0,29840.0,-0.0036,3.4517,2.6764
228,937984,790.0,1187.4,306.22,25454.8,2790.9,360.8,1.0,29840.0,-0.0047,6.0936,2.6807
229,942080,793.4,1187.4,306.22,25454.8,2790.9,360.8,1.0,29840.0,-0.0056,1.4725,2.6763
230,946176,797.0,1187.2,306.22,25454.8,2790.9,360.8,1.0,29840.0,-0.0063,1.31,2.6741
231,950272,800.4,1187.2,306.49,25475.8,2800.4,359.6,1.0,29840.0,-0.0,5.1147,2.6794
232,954368,804.1,1186.9,306.13,25445.5,2799.0,362.2,1.0,29840.0,0.003,3.5706,2.6682
233,958464,807.5,1187.0,306.43,25467.8,2798.7,361.5,1.0,29840.0,-0.0059,7.7718,2.6571
234,962560,810.9,1187.0,305.16,25353.5,2793.9,363.7,1.0,29840.0,-0.0019,12.7738,2.6544
235,966656,814.5,1186.9,305.16,25353.5,2793.9,363.7,1.0,29840.0,-0.004,1.7971,2.672
236,970752,817.9,1186.8,305.82,25410.8,2795.3,362.1,1.0,29840.0,-0.0021,2.8431,2.6672
237,974848,821.3,1186.9,305.95,25439.8,2797.3,367.9,1.0,29840.0,-0.005,6.637,2.6544
238,978944,824.8,1186.9,306.47,25484.2,2805.1,368.1,1.0,29840.0,-0.0052,4.2642,2.6537
239,983040,828.1,1187.1,306.64,25498.0,2804.8,368.1,1.0,29840.0,-0.0011,4.0383,2.6304
240,987136,831.4,1187.3,307.6,25586.0,2805.4,364.5,1.0,29840.0,-0.0007,13.4102,2.6173
241,991232,834.8,1187.4,307.77,25608.0,2804.4,364.4,1.0,29840.0,-0.0022,8.3831,2.6473
242,995328,838.4,1187.2,307.77,25608.0,2804.4,364.4,1.0,29840.0,-0.0009,1.7544,2.6736
243,999424,841.9,1187.0,308.13,25647.5,2804.0,364.4,1.0,29840.0,-0.002,3.8629,2.6804
244,1003520,845.5,1187.0,308.4,25663.0,2812.3,365.0,1.0,29840.0,-0.0059,4.0105,2.6773
245,1007616,848.9,1186.9,308.4,25663.0,2812.3,365.0,1.0,29840.0,-0.0079,1.9323,2.6722
